(85, 52):  	connectivity: 2,  	local depth: 9,  	global depth: 250
(49, 52):  	connectivity: 3,  	local depth: 18,  	global depth: 50
(55, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(93, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(86, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(63, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(46, 71):  	connectivity: 1,  	local depth: 8,  	global depth: 234
(76, 23):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(93, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(50, 32):  	connectivity: 2,  	local depth: 17,  	global depth: 61
(75, 54):  	connectivity: 2,  	local depth: 23,  	global depth: 182
(50, 34):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(88, 52):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 69):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(93, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 57):  	connectivity: 2,  	local depth: 15,  	global depth: 57
(88, 61):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(62, 69):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(93, 33):  	connectivity: 2,  	local depth: 12,  	global depth: 228
(93, 41):  	connectivity: 3,  	local depth: 20,  	global depth: 178
(76, 40):  	connectivity: 1,  	local depth: 11,  	global depth: 31
(91, 52):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(88, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(79, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 63):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(93, 38):  	connectivity: 2,  	local depth: 16,  	global depth: 202
(79, 32):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(78, 61):  	connectivity: 2,  	local depth: 25,  	global depth: 144
(91, 58):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(78, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(53, 43):  	connectivity: 1,  	local depth: 8,  	global depth: 27
(88, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(66, 40):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(65, 69):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(78, 66):  	connectivity: 3,  	local depth: 22,  	global depth: 136
(91, 64):  	connectivity: 2,  	local depth: 17,  	global depth: 162
(56, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(79, 41):  	connectivity: 1,  	local depth: 13,  	global depth: 194
(56, 39):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 38):  	connectivity: 2,  	local depth: 12,  	global depth: 21
(56, 43):  	connectivity: 2,  	local depth: 12,  	global depth: 21
(50, 68):  	connectivity: 2,  	local depth: 14,  	global depth: 180
(66, 52):  	connectivity: 2,  	local depth: 22,  	global depth: 142
