(29, 67):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(28, 43):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 35):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(33, 97):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(41, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(31, 55):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 75):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(16, 34):  	connectivity: 2,  	local depth: 13,  	global depth: 119
(41, 68):  	connectivity: 2,  	local depth: 11,  	global depth: 59
(24, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(50, 95):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(50, 98):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(16, 39):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(3, 55):  	connectivity: 2,  	local depth: 11,  	global depth: 29
(20, 56):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(56, 82):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(1, 60):  	connectivity: 1,  	local depth: 13,  	global depth: 31
(20, 58):  	connectivity: 1,  	local depth: 11,  	global depth: 35
(20, 59):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(25, 48):  	connectivity: 2,  	local depth: 19,  	global depth: 81
(69, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 92):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(20, 44):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(44, 66):  	connectivity: 2,  	local depth: 14,  	global depth: 51
(59, 77):  	connectivity: 3,  	local depth: 19,  	global depth: 41
(20, 61):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(43, 98):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(43, 99):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 97):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(56, 95):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(39, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(44, 73):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(41, 85):  	connectivity: 1,  	local depth: 8,  	global depth: 81
(15, 58):  	connectivity: 2,  	local depth: 14,  	global depth: 27
(46, 91):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(2, 40):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 88):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(33, 47):  	connectivity: 1,  	local depth: 11,  	global depth: 144
(46, 93):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(41, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(57, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 58):  	connectivity: 1,  	local depth: 14,  	global depth: 22
(41, 74):  	connectivity: 2,  	local depth: 9,  	global depth: 69
(47, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 67):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(67, 89):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(47, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 36):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(41, 75):  	connectivity: 1,  	local depth: 14,  	global depth: 22
(60, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 31):  	connectivity: 1,  	local depth: 13,  	global depth: 103
(3, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(23, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 84):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(10, 38):  	connectivity: 1,  	local depth: 13,  	global depth: 123
(16, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
