(93, 20):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(61, 56):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(88, 20):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(74, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(84, 66):  	connectivity: 2,  	local depth: 16,  	global depth: 51
(75, 31):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(58, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(75, 34):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 51):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(59, 52):  	connectivity: 2,  	local depth: 14,  	global depth: 58
(62, 41):  	connectivity: 2,  	local depth: 9,  	global depth: 69
(48, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(91, 23):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(84, 76):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(96, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(94, 23):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 74):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(74, 71):  	connectivity: 1,  	local depth: 8,  	global depth: 49
(61, 78):  	connectivity: 1,  	local depth: 16,  	global depth: 34
(65, 39):  	connectivity: 2,  	local depth: 17,  	global depth: 40
(51, 73):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(52, 47):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 68):  	connectivity: 3,  	local depth: 10,  	global depth: 14
(68, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(65, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(72, 65):  	connectivity: 2,  	local depth: 16,  	global depth: 31
(97, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 57):  	connectivity: 2,  	local depth: 19,  	global depth: 49
(64, 77):  	connectivity: 3,  	local depth: 17,  	global depth: 25
(68, 40):  	connectivity: 3,  	local depth: 22,  	global depth: 31
(62, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(75, 65):  	connectivity: 2,  	local depth: 12,  	global depth: 38
(55, 51):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(62, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(49, 78):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(62, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(58, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(81, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(81, 50):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(78, 62):  	connectivity: 2,  	local depth: 16,  	global depth: 51
(65, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(81, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(65, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(82, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(78, 77):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(72, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 43):  	connectivity: 3,  	local depth: 19,  	global depth: 34
(59, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 46):  	connectivity: 2,  	local depth: 17,  	global depth: 43
(76, 68):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(69, 49):  	connectivity: 1,  	local depth: 11,  	global depth: 54
(80, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(66, 62):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(54, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(76, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(57, 31):  	connectivity: 1,  	local depth: 8,  	global depth: 82
(54, 44):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(77, 49):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(56, 61):  	connectivity: 1,  	local depth: 10,  	global depth: 19
(79, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(92, 28):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 39):  	connectivity: 2,  	local depth: 9,  	global depth: 55
(69, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(79, 68):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(53, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(77, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 75
(80, 43):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(83, 32):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(70, 37):  	connectivity: 2,  	local depth: 22,  	global depth: 34
(79, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(67, 50):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(82, 62):  	connectivity: 3,  	local depth: 23,  	global depth: 42
(77, 59):  	connectivity: 2,  	local depth: 12,  	global depth: 62
(80, 47):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(69, 67):  	connectivity: 3,  	local depth: 17,  	global depth: 26
(54, 55):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(86, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 48):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(69, 68):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(43, 77):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(84, 9):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(57, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 39):  	connectivity: 1,  	local depth: 8,  	global depth: 66
(73, 34):  	connectivity: 2,  	local depth: 17,  	global depth: 39
(84, 14):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(54, 62):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(83, 43):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(80, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 49):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(84, 17):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(92, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(67, 63):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 32):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(89, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(60, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 34):  	connectivity: 2,  	local depth: 11,  	global depth: 46
(60, 50):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(57, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 22
(73, 49):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(73, 52):  	connectivity: 3,  	local depth: 20,  	global depth: 42
(80, 74):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(53, 39):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 56):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(57, 72):  	connectivity: 1,  	local depth: 10,  	global depth: 19
(83, 65):  	connectivity: 1,  	local depth: 8,  	global depth: 47
(60, 62):  	connectivity: 2,  	local depth: 9,  	global depth: 17
(90, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 70):  	connectivity: 2,  	local depth: 12,  	global depth: 62
(84, 43):  	connectivity: 1,  	local depth: 11,  	global depth: 54
(61, 39):  	connectivity: 1,  	local depth: 11,  	global depth: 51
(70, 77):  	connectivity: 2,  	local depth: 19,  	global depth: 28
(73, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
