(32, 26):  	connectivity: 3,  	local depth: 23,  	global depth: 66
(65, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 57):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(28, 27):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(48, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 11):  	connectivity: 1,  	local depth: 11,  	global depth: 37
(78, 49):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(48, 33):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(47, 19):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 44):  	connectivity: 3,  	local depth: 22,  	global depth: 26
(56, 23):  	connectivity: 2,  	local depth: 16,  	global depth: 94
(92, 43):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(26, 15):  	connectivity: 1,  	local depth: 13,  	global depth: 116
(61, 30):  	connectivity: 1,  	local depth: 8,  	global depth: 128
(23, 14):  	connectivity: 3,  	local depth: 14,  	global depth: 18
(14, 18):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(14, 22):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(20, 24):  	connectivity: 2,  	local depth: 18,  	global depth: 86
(44, 15):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 35):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(69, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 17):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(74, 34):  	connectivity: 3,  	local depth: 10,  	global depth: 10
(38, 19):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(58, 51):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(47, 31):  	connectivity: 2,  	local depth: 21,  	global depth: 78
(54, 20):  	connectivity: 3,  	local depth: 23,  	global depth: 80
(59, 25):  	connectivity: 2,  	local depth: 12,  	global depth: 110
(21, 0):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(69, 33):  	connectivity: 2,  	local depth: 14,  	global depth: 36
(81, 58):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(14, 28):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(30, 7):  	connectivity: 2,  	local depth: 9,  	global depth: 33
(20, 30):  	connectivity: 2,  	local depth: 21,  	global depth: 70
(44, 16):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(49, 20):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(12, 41):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(54, 26):  	connectivity: 2,  	local depth: 18,  	global depth: 92
(69, 38):  	connectivity: 2,  	local depth: 22,  	global depth: 30
(41, 24):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(38, 24):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(82, 35):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(72, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 54
(21, 6):  	connectivity: 2,  	local depth: 21,  	global depth: 21
(14, 33):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(30, 12):  	connectivity: 3,  	local depth: 14,  	global depth: 23
(10, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 53):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 29):  	connectivity: 3,  	local depth: 18,  	global depth: 84
(69, 41):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(26, 11):  	connectivity: 1,  	local depth: 8,  	global depth: 41
(38, 27):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(41, 28):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(72, 31):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(30, 15):  	connectivity: 1,  	local depth: 16,  	global depth: 31
(50, 0):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(98, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(40, 1):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(23, 34):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(82, 43):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(30, 19):  	connectivity: 2,  	local depth: 11,  	global depth: 114
(61, 55):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 37):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(74, 54):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(7, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(61, 59):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 35):  	connectivity: 1,  	local depth: 11,  	global depth: 46
(74, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(49, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 54):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(48, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(72, 43):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(40, 9):  	connectivity: 1,  	local depth: 16,  	global depth: 84
(30, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(88, 30):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(54, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 40):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(29, 0):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(93, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(52, 35):  	connectivity: 2,  	local depth: 17,  	global depth: 36
(93, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(88, 36):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(62, 45):  	connectivity: 3,  	local depth: 19,  	global depth: 28
(21, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(19, 19):  	connectivity: 2,  	local depth: 18,  	global depth: 18
(46, 19):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(88, 39):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(36, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 48):  	connectivity: 2,  	local depth: 17,  	global depth: 36
(91, 28):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(88, 40):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(14, 1):  	connectivity: 1,  	local depth: 16,  	global depth: 25
(75, 49):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(46, 24):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(6, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(85, 58):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(25, 2):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 55):  	connectivity: 1,  	local depth: 11,  	global depth: 46
(4, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 2):  	connectivity: 1,  	local depth: 14,  	global depth: 31
(65, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(92, 55):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(23, 3):  	connectivity: 4,  	local depth: 17,  	global depth: 17
(11, 42):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(81, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 3):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(13, 4):  	connectivity: 3,  	local depth: 14,  	global depth: 18
(18, 0):  	connectivity: 1,  	local depth: 14,  	global depth: 31
(63, 38):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(86, 43):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(89, 31):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(98, 37):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(51, 18):  	connectivity: 2,  	local depth: 24,  	global depth: 74
(18, 9):  	connectivity: 2,  	local depth: 15,  	global depth: 27
(17, 10):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(79, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 39):  	connectivity: 1,  	local depth: 8,  	global depth: 32
