(61, 53),(57, 53),[]
(29, 75),(34, 75),[]
(5, 76),(6, 80),[]
(82, 93),(79, 92),[]
(15, 86),(11, 83),[]
(86, 81),(83, 80),[]
(74, 86),(63, 74),[]
(16, 98),(13, 92),[]
(61, 75),(49, 73),[]
(57, 63),(57, 60),[]
(44, 58),(40, 54),[]
(83, 75),(78, 80),[]
(83, 80),(81, 77),[]
(57, 63),(57, 69),[]
(64, 66),(61, 58),[]
(65, 90),(68, 87),[]
(17, 68),(17, 74),[]
(10, 77),(14, 78),[]
(31, 50),(34, 50),[]
(43, 51),(37, 52),[]
(49, 73),(49, 62),[]
(64, 53),(63, 57),[]
(22, 75),(25, 72),[]
(39, 75),(35, 73),[]
(17, 65),(20, 63),[]
(72, 76),(70, 79),[]
(65, 94),(65, 90),[]
(76, 77),(78, 80),[]
(6, 85),(17, 74),[]
(6, 80),(10, 84),[]
(37, 56),(40, 56),[]
(17, 68),(17, 65),[]
(78, 80),(76, 83),[]
(52, 70),(49, 70),[]
(75, 95),(74, 92),[]
(26, 60),(37, 52),[]
(57, 53),(53, 57),[]
(40, 62),(40, 52),[]
(42, 68),(37, 68),[]
(49, 58),(52, 56),[]
(42, 68),(46, 68),[]
(89, 82),(86, 81),[]
(79, 92),(77, 88),[]
(57, 69),(59, 66),[]
(10, 95),(11, 91),[]
(34, 75),(40, 62),[]
(66, 82),(69, 84),[]
(16, 60),(18, 64),[]
(52, 56),(55, 60),[]
(25, 72),(21, 69),[]
(26, 67),(23, 65),[]
(31, 67),(34, 67),[]
(38, 47),(41, 51),[]
(13, 92),(7, 89),[]
(59, 66),(63, 64),[]
(43, 65),(43, 62),[]
(47, 54),(43, 51),[]
(20, 63),(22, 66),[]
(77, 88),(80, 86),[]
(34, 50),(35, 53),[]
(28, 52),(24, 56),[]
(68, 87),(71, 80),[]
(1, 88),(5, 91),[]
(74, 92),(68, 87),[]
(43, 73),(49, 73),[]
(31, 67),(26, 67),[]
(30, 72),(30, 75),[]
(21, 58),(23, 55),[]
(2, 82),(5, 84),[]
(62, 69),(64, 66),[]
(64, 73),(61, 75),[]
(5, 84),(7, 81),[]
(51, 62),(40, 62),[]
(61, 53),(64, 53),[]
(20, 70),(26, 60),[]
(16, 90),(13, 92),[]
(54, 65),(52, 62),[]
(26, 67),(34, 75),[]
(34, 67),(37, 68),[]
(49, 58),(45, 62),[]
(46, 65),(46, 73),[]
(17, 74),(20, 70),[]
(35, 61),(40, 61),[]
(64, 49),(64, 53),[]
(63, 57),(51, 62),[]
(46, 65),(46, 62),[]
(43, 65),(43, 68),[]
(33, 64),(35, 61),[]
(28, 52),(31, 50),[]
(23, 55),(27, 59),[]
(37, 56),(32, 56),[]
(34, 47),(34, 50),[]
(44, 58),(47, 60),[]
