(27, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 73):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(17, 94):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(15, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(17, 90):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(29, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(23, 90):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(12, 94):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(5, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 76):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(23, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 99):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(2, 82):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(23, 93):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(21, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(32, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(21, 79):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(31, 98):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(10, 96):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 91):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(21, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(26, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 67):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(13, 62):  	connectivity: 3,  	local depth: 15,  	global depth: 19
(36, 62):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(24, 76):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 72):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(24, 79):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 66):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(1, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 85):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(13, 70):  	connectivity: 2,  	local depth: 11,  	global depth: 24
(6, 82):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(13, 73):  	connectivity: 1,  	local depth: 11,  	global depth: 31
(35, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(9, 73):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(9, 62):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(9, 67):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(20, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 84):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(18, 66):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(6, 99):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(3, 62):  	connectivity: 2,  	local depth: 18,  	global depth: 18
(14, 84):  	connectivity: 1,  	local depth: 11,  	global depth: 31
(3, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(0, 87):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(3, 67):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(3, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 85):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(25, 99):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(23, 65):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(3, 72):  	connectivity: 3,  	local depth: 15,  	global depth: 19
(26, 66):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(14, 73):  	connectivity: 2,  	local depth: 11,  	global depth: 24
(16, 67):  	connectivity: 1,  	local depth: 13,  	global depth: 26
(11, 78):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(28, 95):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(0, 79):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(29, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 97):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 90):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(14, 76):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(22, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(3, 94):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(14, 89):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(28, 98):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(28, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 98):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(23, 70):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(14, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(19, 94):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 70):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(7, 88):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(23, 73):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(19, 98):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(0, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 98):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(22, 84):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 76):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(0, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(9, 82):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(0, 72):  	connectivity: 1,  	local depth: 13,  	global depth: 26
(23, 76):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(22, 88):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(8, 92):  	connectivity: 2,  	local depth: 4,  	global depth: 4
