(79, 67):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(83, 48):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(88, 57):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(79, 70):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(64, 47):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(79, 73):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(84, 82):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(83, 60):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(88, 70):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(65, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(79, 85):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(64, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 47):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(79, 95):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(64, 73):  	connectivity: 3,  	local depth: 25,  	global depth: 41
(82, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(82, 59):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(77, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(83, 89):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(77, 55):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(77, 56):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(64, 87):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(77, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 53):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 79
(82, 73):  	connectivity: 2,  	local depth: 14,  	global depth: 59
(68, 78):  	connectivity: 2,  	local depth: 14,  	global depth: 59
(91, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 85
(72, 62):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(67, 55):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 65):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(67, 59):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(68, 93):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(68, 94):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(97, 95):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(82, 92):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(96, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(97, 92):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(82, 95):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(97, 84):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(67, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 56):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 93):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(80, 55):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(67, 86):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(97, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(85, 76):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 50):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(65, 51):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(89, 69):  	connectivity: 2,  	local depth: 9,  	global depth: 71
(84, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(84, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(70, 69):  	connectivity: 2,  	local depth: 19,  	global depth: 53
(85, 95):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(66, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(84, 72):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(99, 88):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(75, 86):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(74, 61):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(94, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 82):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(89, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 94):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(99, 80):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(89, 92):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(94, 88):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(74, 73):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(99, 70):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(74, 78):  	connectivity: 1,  	local depth: 8,  	global depth: 85
(74, 79):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(99, 66):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(87, 54):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(74, 84):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(87, 55):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(87, 62):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(94, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(73, 69):  	connectivity: 2,  	local depth: 12,  	global depth: 65
(95, 76):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(78, 79):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(94, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(73, 73):  	connectivity: 1,  	local depth: 8,  	global depth: 79
(87, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(92, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(86, 51):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(87, 81):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(78, 93):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(94, 82):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(76, 53):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(71, 50):  	connectivity: 3,  	local depth: 10,  	global depth: 10
(63, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(76, 64):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(90, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 69):  	connectivity: 3,  	local depth: 25,  	global depth: 43
(86, 88):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(61, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(76, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 51):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(90, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 56):  	connectivity: 2,  	local depth: 12,  	global depth: 65
(62, 84):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(71, 73):  	connectivity: 2,  	local depth: 22,  	global depth: 49
(71, 78):  	connectivity: 2,  	local depth: 9,  	global depth: 71
(61, 65):  	connectivity: 2,  	local depth: 19,  	global depth: 53
(71, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 90):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(79, 52):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(93, 81):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(71, 93):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(74, 48):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(61, 78):  	connectivity: 2,  	local depth: 22,  	global depth: 49
(98, 74):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(98, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(94, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(94, 93):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(94, 92):  	connectivity: 2,  	local depth: 6,  	global depth: 6
