(54, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 30):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 37):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(34, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 12):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(49, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(90, 5):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 45):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(39, 29):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(85, 2):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(62, 17):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 32):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(24, 8):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(34, 27):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(29, 23):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(43, 20):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(53, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 33):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(57, 25):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(47, 12):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(62, 37):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(57, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 31):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(61, 17):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(6, 11):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(57, 37):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(33, 27):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(23, 11):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(61, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 14):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(37, 12):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(37, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(51, 12):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(37, 16):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(47, 35):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(37, 21):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(70, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(70, 27):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(65, 20):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(37, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(32, 21):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(65, 23):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(74, 13):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(46, 20):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(65, 26):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(70, 36):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(51, 31):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(41, 16):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(37, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(65, 30):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(70, 40):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(69, 14):  	connectivity: 1,  	local depth: 13,  	global depth: 17
