(36, 93):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(10, 54):  	connectivity: 1,  	local depth: 11,  	global depth: 30
(45, 83):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(32, 76):  	connectivity: 2,  	local depth: 22,  	global depth: 37
(42, 65):  	connectivity: 1,  	local depth: 11,  	global depth: 77
(33, 91):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(28, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(32, 97):  	connectivity: 3,  	local depth: 20,  	global depth: 33
(28, 72):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(28, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 52):  	connectivity: 2,  	local depth: 19,  	global depth: 19
(10, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(19, 86):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 53):  	connectivity: 3,  	local depth: 14,  	global depth: 18
(37, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(19, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 54):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(28, 56):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(20, 57):  	connectivity: 2,  	local depth: 14,  	global depth: 23
(23, 80):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(20, 59):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 82):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(37, 76):  	connectivity: 2,  	local depth: 14,  	global depth: 44
(20, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 87
(12, 88):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(42, 83):  	connectivity: 3,  	local depth: 12,  	global depth: 16
(49, 53):  	connectivity: 2,  	local depth: 9,  	global depth: 27
(10, 77):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(20, 67):  	connectivity: 1,  	local depth: 11,  	global depth: 30
(23, 89):  	connectivity: 1,  	local depth: 8,  	global depth: 65
(28, 87):  	connectivity: 3,  	local depth: 19,  	global depth: 32
(12, 92):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 63):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(10, 81):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(42, 86):  	connectivity: 1,  	local depth: 13,  	global depth: 22
(52, 56):  	connectivity: 1,  	local depth: 8,  	global depth: 34
(30, 91):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(12, 95):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(43, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(10, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(26, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 97):  	connectivity: 2,  	local depth: 19,  	global depth: 38
(25, 92):  	connectivity: 2,  	local depth: 9,  	global depth: 54
(10, 92):  	connectivity: 1,  	local depth: 11,  	global depth: 52
(34, 64):  	connectivity: 2,  	local depth: 17,  	global depth: 57
(20, 81):  	connectivity: 2,  	local depth: 9,  	global depth: 22
(53, 55):  	connectivity: 1,  	local depth: 16,  	global depth: 66
(34, 67):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(45, 63):  	connectivity: 2,  	local depth: 14,  	global depth: 64
(27, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 96):  	connectivity: 2,  	local depth: 14,  	global depth: 45
(34, 70):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(22, 85):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(27, 63):  	connectivity: 2,  	local depth: 13,  	global depth: 63
(10, 99):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 89):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(34, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(49, 80):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
