(25, 44),(29, 40),[]
(60, 16),(57, 14),[]
(18, 38),(13, 38),[]
(59, 36),(53, 40),[]
(71, 14),(71, 11),[]
(46, 16),(36, 24),[]
(27, 31),(25, 37),[]
(13, 29),(15, 32),[]
(6, 62),(11, 58),[]
(54, 15),(46, 16),[]
(22, 40),(24, 37),[]
(18, 38),(22, 40),[]
(9, 53),(6, 51),[]
(52, 39),(35, 23),[(41, 33)]
(37, 15),(42, 19),[]
(57, 19),(54, 18),[]
(47, 22),(44, 18),[]
(30, 36),(27, 38),[]
(19, 13),(25, 13),[]
(5, 52),(15, 42),[]
(23, 36),(33, 42),[]
(18, 35),(18, 29),[]
(60, 61),(60, 58),[]
(55, 22),(52, 24),[]
(89, 10),(87, 5),[]
(16, 13),(18, 21),[]
(42, 13),(40, 17),[]
(56, 27),(53, 26),[]
(32, 26),(36, 25),[]
(44, 31),(43, 34),[]
(13, 22),(19, 26),[]
(50, 43),(53, 41),[]
(13, 13),(16, 13),[]
(26, 19),(29, 19),[]
(60, 25),(59, 36),[]
(42, 41),(47, 36),[]
(18, 21),(15, 23),[]
(16, 43),(13, 40),[]
(61, 22),(60, 25),[]
(48, 13),(48, 16),[]
(1, 2),(13, 13),[]
(23, 21),(26, 24),[]
(1, 60),(6, 62),[]
(51, 23),(47, 22),[]
(60, 50),(52, 39),[]
(42, 41),(39, 45),[]
(60, 11),(61, 14),[]
(31, 45),(31, 48),[]
(70, 3),(59, 15),[]
(32, 21),(29, 21),[]
(70, 2),(74, 2),[]
(19, 26),(27, 31),[]
(13, 34),(20, 27),[]
(30, 36),(38, 28),[]
(67, 7),(64, 9),[]
(94, 9),(95, 5),[]
(31, 30),(33, 33),[]
(40, 46),(34, 41),[]
(28, 48),(25, 44),[]
(55, 33),(59, 33),[]
(26, 24),(22, 28),[]
(13, 72),(19, 66),[]
(29, 26),(24, 26),[]
(19, 43),(26, 43),[]
(48, 33),(47, 36),[]
(56, 50),(59, 49),[]
(21, 31),(22, 28),[]
(29, 17),(37, 15),[]
(23, 18),(23, 21),[]
(34, 46),(31, 46),[]
(29, 26),(32, 26),[]
(20, 16),(17, 16),[]
(59, 55),(60, 50),[]
(49, 30),(48, 33),[]
(53, 47),(56, 45),[]
(54, 30),(55, 33),[]
(19, 43),(16, 43),[]
(1, 52),(5, 52),[]
(34, 46),(40, 46),[]
(31, 30),(27, 26),[]
(19, 13),(16, 13),[]
(13, 40),(13, 34),[]
(56, 27),(60, 27),[]
(44, 24),(47, 22),[]
(33, 42),(41, 33),[]
(31, 45),(31, 41),[]
(35, 32),(39, 30),[]
(26, 24),(29, 21),[]
(54, 18),(54, 15),[]
(61, 4),(66, 12),[]
(53, 26),(51, 23),[]
(32, 21),(40, 21),[]
(18, 35),(18, 38),[]
(20, 16),(28, 16),[]
(76, 13),(76, 9),[]
(14, 18),(17, 18),[]
(29, 21),(29, 17),[]
(31, 48),(28, 48),[]
(45, 43),(42, 41),[]
(57, 14),(54, 15),[]
(84, 13),(81, 7),[]
(44, 31),(44, 24),[]
(95, 5),(95, 2),[]
(25, 13),(29, 17),[]
(59, 40),(58, 37),[]
(48, 27),(50, 23),[]
(22, 44),(25, 44),[]
(12, 59),(9, 53),[]
(23, 70),(12, 59),[]
(74, 2),(77, 8),[]
(44, 24),(39, 29),[]
(6, 1),(3, 3),[]
(32, 60),(31, 48),[]
(60, 58),(59, 55),[]
(61, 43),(59, 40),[]
