(25, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 23):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 56):  	connectivity: 1,  	local depth: 18,  	global depth: 18
(53, 47):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(25, 56):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(48, 43):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(25, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(24, 32):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(14, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(51, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 39):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(22, 31):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(19, 44):  	connectivity: 1,  	local depth: 14,  	global depth: 22
(57, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 4):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(8, 2):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 23):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(32, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(27, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(37, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 26):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(36, 7):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(45, 1):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 52):  	connectivity: 2,  	local depth: 16,  	global depth: 16
