(41, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 55):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(57, 40):  	connectivity: 2,  	local depth: 19,  	global depth: 51
(30, 62):  	connectivity: 1,  	local depth: 11,  	global depth: 67
(63, 75):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(62, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 42):  	connectivity: 2,  	local depth: 24,  	global depth: 91
(62, 34):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(27, 42):  	connectivity: 1,  	local depth: 11,  	global depth: 28
(3, 28):  	connectivity: 2,  	local depth: 20,  	global depth: 101
(22, 72):  	connectivity: 1,  	local depth: 11,  	global depth: 51
(23, 61):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(27, 45):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(35, 82):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(24, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(53, 11):  	connectivity: 3,  	local depth: 12,  	global depth: 16
(32, 76):  	connectivity: 1,  	local depth: 11,  	global depth: 58
(58, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(3, 31):  	connectivity: 2,  	local depth: 13,  	global depth: 115
(34, 21):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(40, 53):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(32, 79):  	connectivity: 2,  	local depth: 11,  	global depth: 47
(45, 66):  	connectivity: 1,  	local depth: 16,  	global depth: 52
(46, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(24, 26):  	connectivity: 2,  	local depth: 20,  	global depth: 95
(35, 84):  	connectivity: 1,  	local depth: 13,  	global depth: 49
(27, 48):  	connectivity: 3,  	local depth: 16,  	global depth: 16
(12, 11):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(45, 44):  	connectivity: 3,  	local depth: 19,  	global depth: 42
(24, 75):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(40, 57):  	connectivity: 1,  	local depth: 16,  	global depth: 20
(57, 78):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(32, 84):  	connectivity: 3,  	local depth: 15,  	global depth: 38
(53, 18):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(66, 79):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(29, 54):  	connectivity: 3,  	local depth: 19,  	global depth: 43
(12, 31):  	connectivity: 4,  	local depth: 32,  	global depth: 69
(49, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(66, 82):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(63, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 15):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(27, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(29, 59):  	connectivity: 2,  	local depth: 17,  	global depth: 54
(61, 19):  	connectivity: 1,  	local depth: 16,  	global depth: 20
(18, 21):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(35, 89):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 87):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(35, 55):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 32):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(12, 37):  	connectivity: 1,  	local depth: 10,  	global depth: 119
(35, 90):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(23, 77):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(57, 86):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 31):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(29, 63):  	connectivity: 3,  	local depth: 14,  	global depth: 14
(49, 63):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(13, 41):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(17, 94):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(41, 75):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(24, 42):  	connectivity: 3,  	local depth: 27,  	global depth: 77
(55, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(27, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(21, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(40, 76):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(62, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(35, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 96):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(23, 86):  	connectivity: 3,  	local depth: 18,  	global depth: 31
(9, 94):  	connectivity: 1,  	local depth: 13,  	global depth: 49
(34, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 41):  	connectivity: 1,  	local depth: 10,  	global depth: 119
(34, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 31):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(53, 41):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(41, 50):  	connectivity: 1,  	local depth: 11,  	global depth: 28
(14, 15):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(22, 83):  	connectivity: 2,  	local depth: 20,  	global depth: 40
(35, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(24, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(27, 76):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(22, 48):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(54, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(21, 9):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(57, 17):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(52, 81):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(29, 83):  	connectivity: 2,  	local depth: 21,  	global depth: 33
(64, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(28, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 23):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 15):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(31, 89):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 59):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(51, 57):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(14, 24):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(24, 61):  	connectivity: 1,  	local depth: 13,  	global depth: 65
(47, 60):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(34, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(46, 17):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(22, 57):  	connectivity: 1,  	local depth: 13,  	global depth: 65
(1, 10):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 34):  	connectivity: 1,  	local depth: 21,  	global depth: 89
(27, 86):  	connectivity: 3,  	local depth: 26,  	global depth: 30
(8, 94):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(18, 8):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(63, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(27, 89):  	connectivity: 1,  	local depth: 16,  	global depth: 41
(21, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 42):  	connectivity: 2,  	local depth: 17,  	global depth: 53
(22, 65):  	connectivity: 1,  	local depth: 11,  	global depth: 24
(64, 41):  	connectivity: 1,  	local depth: 8,  	global depth: 75
(21, 25):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 74):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 70):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(3, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 73):  	connectivity: 3,  	local depth: 14,  	global depth: 14
(7, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(4, 38):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 42):  	connectivity: 3,  	local depth: 13,  	global depth: 107
(9, 6):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(28, 73):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(47, 81):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(49, 77):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(4, 40):  	connectivity: 1,  	local depth: 10,  	global depth: 151
(15, 15):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(48, 52):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(21, 45):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(36, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(10, 29):  	connectivity: 1,  	local depth: 10,  	global depth: 151
(28, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(58, 19):  	connectivity: 3,  	local depth: 14,  	global depth: 14
(60, 39):  	connectivity: 2,  	local depth: 12,  	global depth: 62
(15, 98):  	connectivity: 1,  	local depth: 13,  	global depth: 49
(33, 48):  	connectivity: 1,  	local depth: 10,  	global depth: 127
(5, 8):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(5, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 79):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(25, 58):  	connectivity: 3,  	local depth: 15,  	global depth: 52
(21, 51):  	connectivity: 1,  	local depth: 16,  	global depth: 24
(38, 48):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(58, 22):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(28, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 21):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(16, 1):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(15, 27):  	connectivity: 2,  	local depth: 23,  	global depth: 83
(39, 67):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(10, 17):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(61, 82):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 72):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(64, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(50, 62):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(48, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 31):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(25, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 23):  	connectivity: 2,  	local depth: 16,  	global depth: 89
(15, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 37):  	connectivity: 3,  	local depth: 16,  	global depth: 99
(58, 34):  	connectivity: 2,  	local depth: 12,  	global depth: 20
(36, 42):  	connectivity: 1,  	local depth: 10,  	global depth: 127
(15, 6):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(13, 3):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(39, 54):  	connectivity: 3,  	local depth: 23,  	global depth: 39
(5, 34):  	connectivity: 3,  	local depth: 10,  	global depth: 131
(8, 14):  	connectivity: 1,  	local depth: 13,  	global depth: 99
(25, 80):  	connectivity: 1,  	local depth: 11,  	global depth: 24
(39, 55):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 28):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(31, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(5, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(21, 72):  	connectivity: 1,  	local depth: 16,  	global depth: 20
(54, 4):  	connectivity: 1,  	local depth: 13,  	global depth: 22
(15, 91):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 72):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(31, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(35, 17):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 23):  	connectivity: 3,  	local depth: 21,  	global depth: 79
(1, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 23):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(50, 11):  	connectivity: 1,  	local depth: 13,  	global depth: 22
(6, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 48):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(62, 8):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(50, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 27):  	connectivity: 2,  	local depth: 26,  	global depth: 73
(50, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 19):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(50, 84):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 19):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 12):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(28, 51):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(11, 97):  	connectivity: 3,  	local depth: 18,  	global depth: 38
(35, 27):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(25, 23):  	connectivity: 1,  	local depth: 11,  	global depth: 115
(58, 40):  	connectivity: 1,  	local depth: 8,  	global depth: 26
(36, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 26):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(39, 43):  	connectivity: 1,  	local depth: 11,  	global depth: 66
(50, 23):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(28, 55):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 97):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(31, 76):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(8, 36):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(36, 68):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(12, 4):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(32, 54):  	connectivity: 2,  	local depth: 27,  	global depth: 40
(50, 29):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(32, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
