(28, 20),(28, 23),[]
(20, 41),(17, 41),[]
(20, 47),(17, 47),[]
(25, 58),(26, 63),[]
(17, 9),(12, 13),[]
(56, 68),(48, 73),[]
(68, 44),(71, 46),[]
(70, 31),(70, 27),[]
(77, 56),(68, 51),[]
(33, 64),(33, 61),[]
(9, 15),(11, 12),[]
(37, 85),(36, 78),[]
(29, 55),(25, 55),[]
(43, 25),(43, 31),[]
(31, 37),(31, 34),[]
(2, 80),(2, 94),[]
(11, 18),(14, 15),[]
(47, 66),(46, 70),[]
(24, 19),(26, 24),[]
(23, 50),(18, 51),[]
(43, 25),(42, 22),[]
(31, 78),(25, 85),[]
(3, 77),(7, 75),[]
(20, 28),(32, 29),[]
(42, 39),(39, 48),[]
(20, 59),(20, 51),[]
(48, 31),(45, 30),[]
(57, 40),(68, 44),[]
(58, 22),(56, 25),[]
(63, 34),(63, 37),[]
(51, 28),(49, 25),[]
(29, 92),(17, 92),[]
(21, 21),(24, 20),[]
(16, 3),(17, 9),[]
(2, 17),(4, 8),[]
(70, 53),(56, 68),[]
(24, 64),(27, 63),[]
(17, 48),(17, 38),[]
(33, 57),(33, 50),[]
(27, 43),(39, 47),[]
(22, 24),(22, 21),[]
(70, 60),(75, 55),[]
(25, 55),(25, 58),[]
(13, 2),(16, 3),[]
(22, 24),(22, 28),[]
(20, 66),(20, 63),[]
(61, 85),(58, 87),[]
(32, 29),(44, 31),[]
(26, 24),(26, 28),[]
(31, 34),(35, 34),[]
(20, 47),(34, 47),[]
(37, 38),(41, 42),[]
(36, 23),(39, 23),[]
(17, 92),(17, 88),[]
(62, 78),(55, 83),[]
(18, 19),(21, 21),[]
(42, 65),(38, 62),[]
(20, 59),(19, 62),[]
(36, 66),(33, 64),[]
(13, 84),(9, 81),[]
(5, 8),(18, 19),[]
(20, 41),(32, 41),[]
(39, 34),(36, 32),[]
(42, 22),(39, 22),[]
(25, 38),(25, 41),[]
(32, 26),(32, 29),[]
(49, 19),(52, 21),[]
(32, 22),(26, 24),[]
(65, 31),(69, 27),[]
(43, 52),(39, 50),[]
(46, 20),(49, 19),[]
(25, 85),(25, 92),[]
(37, 38),(35, 34),[]
(28, 52),(28, 55),[]
(28, 52),(28, 47),[]
(13, 89),(10, 92),[]
(32, 40),(31, 44),[]
(54, 19),(45, 29),[]
(8, 93),(9, 89),[]
(61, 46),(62, 42),[]
(9, 63),(18, 63),[]
(9, 89),(6, 87),[]
(17, 88),(14, 84),[]
(31, 37),(31, 41),[]
(13, 89),(16, 87),[]
(2, 80),(3, 77),[]
(65, 31),(63, 34),[]
(57, 56),(59, 52),[]
(73, 66),(69, 64),[]
(35, 34),(36, 30),[]
(33, 57),(34, 60),[]
(32, 26),(32, 23),[]
(38, 62),(37, 59),[]
(46, 82),(51, 78),[]
(45, 29),(42, 39),[]
(12, 93),(9, 91),[]
(84, 42),(81, 42),[]
(39, 22),(39, 30),[]
(27, 63),(37, 59),[]
(49, 90),(55, 84),[]
(18, 62),(24, 64),[]
(69, 64),(63, 58),[]
(70, 38),(73, 37),[]
(29, 66),(28, 63),[]
(16, 83),(13, 84),[]
(25, 38),(25, 33),[]
(73, 37),(76, 38),[]
(17, 57),(18, 53),[]
(62, 74),(62, 78),[]
(63, 37),(61, 41),[]
(35, 19),(32, 22),[]
(23, 33),(28, 33),[]
(53, 78),(42, 65),[]
(59, 97),(62, 94),[]
(23, 33),(19, 33),[]
(70, 56),(71, 53),[]
(4, 83),(7, 84),[]
(37, 59),(39, 48),[]
(17, 38),(20, 28),[]
(16, 79),(16, 83),[]
(5, 8),(6, 6),[]
(54, 92),(56, 95),[]
(82, 45),(82, 42),[]
(8, 3),(5, 5),[]
(36, 78),(31, 78),[]
(12, 66),(15, 68),[]
(81, 57),(77, 56),[]
(30, 48),(33, 49),[]
(61, 36),(50, 24),[]
(31, 34),(28, 34),[]
(59, 52),(61, 46),[]
(32, 51),(35, 46),[]
(56, 95),(59, 97),[]
(9, 63),(5, 63),[]
(31, 89),(29, 92),[]
(29, 55),(33, 55),[]
(4, 69),(8, 70),[]
(65, 87),(60, 90),[]
(23, 44),(27, 43),[]
(43, 59),(38, 61),[]
(16, 31),(19, 31),[]
(36, 23),(30, 23),[]
(7, 75),(18, 62),[]
(1, 7),(5, 8),[]
(81, 42),(76, 39),[]
(7, 75),(11, 76),[]
(1, 65),(5, 65),[]
(8, 70),(8, 75),[]
(17, 27),(20, 28),[]
(28, 35),(28, 29),[]
(18, 53),(17, 48),[]
(70, 60),(68, 63),[]
(4, 72),(4, 69),[]
(5, 63),(5, 69),[]
