(86, 71):  	connectivity: 1,  	local depth: 11,  	global depth: 33
(84, 56):  	connectivity: 2,  	local depth: 15,  	global depth: 19
(74, 48):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(40, 47):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(92, 49):  	connectivity: 1,  	local depth: 14,  	global depth: 23
(80, 28):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(39, 80):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(74, 53):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(37, 49):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(97, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(99, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(74, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(97, 56):  	connectivity: 1,  	local depth: 15,  	global depth: 19
(44, 49):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(64, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(74, 73):  	connectivity: 1,  	local depth: 16,  	global depth: 29
(76, 20):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(80, 52):  	connectivity: 2,  	local depth: 14,  	global depth: 27
(80, 53):  	connectivity: 1,  	local depth: 10,  	global depth: 24
(55, 35):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(80, 56):  	connectivity: 1,  	local depth: 8,  	global depth: 25
(64, 73):  	connectivity: 1,  	local depth: 10,  	global depth: 24
(63, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 38):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 59):  	connectivity: 2,  	local depth: 17,  	global depth: 17
(55, 40):  	connectivity: 2,  	local depth: 9,  	global depth: 9
