(23, 38):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(21, 24):  	connectivity: 2,  	local depth: 16,  	global depth: 44
(45, 59):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(30, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 21):  	connectivity: 2,  	local depth: 24,  	global depth: 36
(1, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 76):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(4, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 65):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(55, 73):  	connectivity: 3,  	local depth: 12,  	global depth: 16
(11, 25):  	connectivity: 2,  	local depth: 12,  	global depth: 47
(55, 76):  	connectivity: 1,  	local depth: 13,  	global depth: 22
(8, 31):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(47, 86):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(40, 54):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(42, 11):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(27, 41):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(40, 55):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(64, 45):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(9, 36):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(51, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(4, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(23, 43):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(51, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 71):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(61, 60):  	connectivity: 1,  	local depth: 8,  	global depth: 28
(1, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(9, 39):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(21, 16):  	connectivity: 2,  	local depth: 16,  	global depth: 46
(8, 43):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(40, 62):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(45, 10):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(61, 68):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(71, 77):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(45, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 27):  	connectivity: 3,  	local depth: 23,  	global depth: 36
(51, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 35):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(61, 74):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(5, 32):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 83):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(48, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 66
(74, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 21):  	connectivity: 1,  	local depth: 8,  	global depth: 58
(17, 19):  	connectivity: 2,  	local depth: 12,  	global depth: 56
(41, 4):  	connectivity: 1,  	local depth: 11,  	global depth: 60
(16, 43):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(34, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 77):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(17, 23):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 63):  	connectivity: 2,  	local depth: 9,  	global depth: 22
(42, 47):  	connectivity: 3,  	local depth: 11,  	global depth: 11
(49, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(24, 47):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 73):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(17, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(42, 50):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(10, 20):  	connectivity: 2,  	local depth: 12,  	global depth: 54
(42, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 31):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(30, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(5, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 76):  	connectivity: 1,  	local depth: 11,  	global depth: 26
(9, 46):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(16, 22):  	connectivity: 1,  	local depth: 8,  	global depth: 68
(17, 32):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(52, 65):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(42, 56):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(33, 66):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(12, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 24):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(17, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(34, 49):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(30, 59):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(45, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(16, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 47):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(52, 72):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(8, 26):  	connectivity: 2,  	local depth: 16,  	global depth: 38
