(49, 44):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(33, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(54, 49):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(32, 36):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(57, 37):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(47, 30):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(33, 47):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(28, 54):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 35):  	connectivity: 2,  	local depth: 14,  	global depth: 45
(38, 42):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(70, 37):  	connectivity: 2,  	local depth: 17,  	global depth: 40
(73, 25):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(32, 39):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(49, 50):  	connectivity: 1,  	local depth: 8,  	global depth: 22
(33, 51):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(73, 27):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(47, 35):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(70, 40):  	connectivity: 2,  	local depth: 19,  	global depth: 37
(47, 37):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(70, 43):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(47, 39):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(73, 32):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 25):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(70, 45):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(57, 50):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(30, 23):  	connectivity: 2,  	local depth: 12,  	global depth: 63
(32, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 42):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(73, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 33):  	connectivity: 2,  	local depth: 11,  	global depth: 52
(58, 25):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 26):  	connectivity: 2,  	local depth: 9,  	global depth: 68
(55, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 38):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(47, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(73, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 38):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(40, 31):  	connectivity: 1,  	local depth: 8,  	global depth: 74
(33, 25):  	connectivity: 3,  	local depth: 22,  	global depth: 43
(32, 54):  	connectivity: 1,  	local depth: 10,  	global depth: 19
(45, 38):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 32):  	connectivity: 2,  	local depth: 12,  	global depth: 61
(32, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 81
(63, 38):  	connectivity: 1,  	local depth: 13,  	global depth: 56
(30, 33):  	connectivity: 3,  	local depth: 22,  	global depth: 41
(68, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 23):  	connectivity: 2,  	local depth: 19,  	global depth: 52
(28, 50):  	connectivity: 1,  	local depth: 10,  	global depth: 19
(38, 51):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(38, 52):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(40, 38):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(63, 42):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(71, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 22
(58, 41):  	connectivity: 1,  	local depth: 13,  	global depth: 54
(56, 27):  	connectivity: 3,  	local depth: 15,  	global depth: 44
(40, 43):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 24):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(51, 25):  	connectivity: 3,  	local depth: 10,  	global depth: 60
(69, 26):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(58, 46):  	connectivity: 1,  	local depth: 10,  	global depth: 19
(34, 25):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(56, 31):  	connectivity: 2,  	local depth: 19,  	global depth: 40
(40, 47):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(32, 28):  	connectivity: 1,  	local depth: 19,  	global depth: 56
(30, 43):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 48):  	connectivity: 3,  	local depth: 10,  	global depth: 14
(46, 24):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 37):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(46, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(51, 30):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(56, 34):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(46, 28):  	connectivity: 1,  	local depth: 16,  	global depth: 24
(40, 52):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(69, 32):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(32, 34):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(43, 42):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(64, 31):  	connectivity: 1,  	local depth: 8,  	global depth: 72
(34, 31):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(46, 31):  	connectivity: 1,  	local depth: 19,  	global depth: 52
(56, 39):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(30, 50):  	connectivity: 3,  	local depth: 10,  	global depth: 14
(43, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 35):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(46, 35):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(54, 28):  	connectivity: 3,  	local depth: 19,  	global depth: 36
(67, 24):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(49, 24):  	connectivity: 2,  	local depth: 16,  	global depth: 51
(37, 25):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 38):  	connectivity: 1,  	local depth: 11,  	global depth: 56
(51, 43):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(54, 31):  	connectivity: 3,  	local depth: 28,  	global depth: 32
(54, 33):  	connectivity: 2,  	local depth: 24,  	global depth: 36
(51, 46):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(56, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(46, 43):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(37, 27):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 34):  	connectivity: 2,  	local depth: 19,  	global depth: 50
(46, 45):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 38):  	connectivity: 3,  	local depth: 15,  	global depth: 42
(46, 47):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(49, 35):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(52, 23):  	connectivity: 1,  	local depth: 10,  	global depth: 73
(26, 26):  	connectivity: 2,  	local depth: 14,  	global depth: 57
(35, 23):  	connectivity: 1,  	local depth: 21,  	global depth: 51
