(27, 52):  	connectivity: 1,  	local depth: 11,  	global depth: 24
(27, 54):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(27, 57):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(15, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 62):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(56, 69):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(32, 58):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(52, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 81):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(49, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(37, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(8, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 87):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(8, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(59, 65):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(18, 52):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(18, 56):  	connectivity: 3,  	local depth: 14,  	global depth: 14
(1, 34):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(37, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 71):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(41, 92):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(72, 74):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(37, 94):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(59, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(8, 43):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(39, 80):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(25, 64):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(72, 79):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(59, 85):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(39, 83):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(28, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(64, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 72):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(28, 60):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(59, 88):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 85):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(17, 35):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(70, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(46, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(70, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(28, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 92):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 79):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 80):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(39, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 58):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(75, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(49, 69):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(35, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 81):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(41, 64):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(58, 71):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(44, 99):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 33):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(36, 98):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(21, 59):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(36, 34):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(12, 28):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(76, 76):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(58, 78):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(49, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 79):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(58, 81):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(61, 70):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(53, 89):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 87):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(24, 30):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(5, 26):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 83):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(61, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 64):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(47, 90):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(53, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(7, 55):  	connectivity: 1,  	local depth: 11,  	global depth: 24
(49, 87):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(24, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(5, 32):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(23, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(36, 47):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(3, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 90):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(44, 79):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(36, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 64):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(49, 94):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(14, 36):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(38, 65):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(54, 67):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(34, 39):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(12, 47):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(61, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 81):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(74, 85):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(44, 76):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(61, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 73):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(54, 72):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(34, 44):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(14, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(54, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 75):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(30, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(54, 78):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(19, 34):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(44, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(11, 50):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(37, 53):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(54, 81):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(36, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(50, 81):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(62, 76):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(42, 80):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(36, 71):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(62, 78):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(46, 83):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(51, 72):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(42, 83):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(19, 43):  	connectivity: 1,  	local depth: 8,  	global depth: 26
(62, 81):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(19, 49):  	connectivity: 2,  	local depth: 12,  	global depth: 20
(46, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 87):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(38, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(43, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 75):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(57, 89):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(46, 71):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(63, 66):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(11, 57):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(29, 54):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(44, 66):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(78, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 56):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(27, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 52):  	connectivity: 2,  	local depth: 4,  	global depth: 4
