(20, 99),(21, 95),[]
(21, 95),(27, 89),[]
(9, 83),(16, 83),[]
(2, 99),(1, 93),[]
(6, 99),(2, 99),[]
(12, 65),(9, 67),[]
(15, 90),(20, 90),[]
(29, 90),(17, 82),[]
(15, 90),(12, 89),[]
(17, 97),(20, 98),[]
(29, 93),(29, 90),[]
(15, 73),(6, 73),[]
(11, 90),(18, 80),[]
(16, 93),(16, 90),[]
(0, 93),(11, 90),[]
(18, 74),(18, 80),[]
(7, 58),(2, 59),[]
(5, 84),(6, 91),[]
(13, 99),(10, 97),[]
(6, 64),(3, 64),[]
(3, 66),(7, 77),[]
(20, 90),(15, 85),[]
(42, 98),(42, 95),[]
(9, 87),(12, 88),[]
(15, 73),(18, 74),[]
(9, 87),(5, 87),[]
(7, 77),(18, 77),[]
(0, 85),(2, 82),[]
(42, 95),(32, 96),[]
(10, 62),(6, 64),[]
(20, 90),(23, 93),[]
(6, 96),(6, 99),[]
(0, 53),(1, 56),[]
(13, 94),(10, 95),[]
(29, 93),(29, 97),[]
(1, 56),(3, 66),[]
(1, 88),(0, 85),[]
(9, 83),(5, 84),[]
(10, 97),(9, 91),[]
(27, 97),(23, 93),[]
(7, 80),(7, 84),[]
(6, 96),(6, 91),[]
(37, 99),(37, 96),[]
(7, 80),(7, 77),[]
(1, 74),(2, 77),[]
(9, 67),(9, 70),[]
(9, 70),(9, 73),[]
(1, 74),(1, 58),[]
(5, 54),(5, 58),[]
(1, 88),(1, 93),[]
(13, 94),(22, 94),[]
(0, 78),(6, 75),[]
(32, 96),(27, 97),[]
(14, 69),(14, 73),[]
(2, 82),(5, 84),[]
(23, 82),(22, 85),[]
