(77, 54):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 66):  	connectivity: 3,  	local depth: 17,  	global depth: 148
(49, 78):  	connectivity: 2,  	local depth: 17,  	global depth: 152
(82, 59):  	connectivity: 2,  	local depth: 14,  	global depth: 132
(56, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(77, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 61):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(90, 55):  	connectivity: 2,  	local depth: 9,  	global depth: 154
(82, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 74):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(64, 66):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(77, 63):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(64, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(82, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(82, 68):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 76):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(64, 70):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(80, 54):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(77, 68):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(80, 58):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(77, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(45, 80):  	connectivity: 1,  	local depth: 11,  	global depth: 176
(70, 55):  	connectivity: 2,  	local depth: 22,  	global depth: 112
(83, 51):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(64, 80):  	connectivity: 2,  	local depth: 22,  	global depth: 100
(61, 67):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(77, 77):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(82, 81):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(72, 76):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(90, 77):  	connectivity: 1,  	local depth: 11,  	global depth: 156
