(52, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 89):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(94, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(91, 70):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(78, 75):  	connectivity: 2,  	local depth: 12,  	global depth: 25
(67, 97):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(84, 55):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(94, 61):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(91, 78):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(65, 87):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(39, 95):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(65, 89):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(81, 75):  	connectivity: 2,  	local depth: 16,  	global depth: 20
(65, 91):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(96, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 82):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(84, 67):  	connectivity: 1,  	local depth: 16,  	global depth: 25
(74, 61):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(84, 70):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(84, 72):  	connectivity: 3,  	local depth: 14,  	global depth: 18
(55, 92):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(84, 74):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 90):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(84, 75):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(74, 69):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(68, 94):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(58, 86):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 82):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 95):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(84, 80):  	connectivity: 1,  	local depth: 16,  	global depth: 24
(74, 72):  	connectivity: 1,  	local depth: 11,  	global depth: 30
(58, 91):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(71, 87):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(74, 75):  	connectivity: 1,  	local depth: 8,  	global depth: 32
(74, 79):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(38, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(58, 96):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(93, 62):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(38, 84):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(72, 69):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(85, 66):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(38, 87):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(93, 56):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(48, 95):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 88):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(88, 58):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(48, 98):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(46, 84):  	connectivity: 3,  	local depth: 14,  	global depth: 14
(97, 62):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(69, 90):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(38, 94):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(46, 87):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(38, 95):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(46, 88):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 80):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(88, 65):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(46, 92):  	connectivity: 1,  	local depth: 11,  	global depth: 24
(62, 80):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(31, 84):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(91, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(62, 84):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 84):  	connectivity: 1,  	local depth: 8,  	global depth: 26
(49, 95):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(57, 87):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(83, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(57, 89):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(99, 74):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(34, 88):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(73, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(86, 79):  	connectivity: 2,  	local depth: 12,  	global depth: 12
(37, 84):  	connectivity: 1,  	local depth: 11,  	global depth: 24
(34, 97):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(89, 74):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(37, 92):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(77, 54):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(98, 81):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(73, 97):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 90):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(77, 58):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(90, 55):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(53, 84):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(99, 53):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(63, 93):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(77, 61):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(87, 70):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(63, 96):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(79, 80):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(43, 83):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(80, 56):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(98, 71):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(66, 90):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(53, 95):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(43, 88):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(77, 72):  	connectivity: 2,  	local depth: 14,  	global depth: 23
(90, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 61):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(80, 64):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(51, 85):  	connectivity: 2,  	local depth: 16,  	global depth: 16
(98, 65):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(56, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(92, 73):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(80, 68):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(32, 93):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(83, 61):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(73, 55):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(54, 84):  	connectivity: 2,  	local depth: 12,  	global depth: 20
(83, 67):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(94, 76):  	connectivity: 3,  	local depth: 10,  	global depth: 10
