(45, 32):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(32, 19):  	connectivity: 1,  	local depth: 8,  	global depth: 41
(3, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(30, 11):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(30, 12):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(10, 12):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(20, 19):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(7, 38):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(37, 19):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(41, 13):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(6, 34):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(3, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 19):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(46, 22):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 28):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(8, 20):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(20, 12):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(7, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(41, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(22, 32):  	connectivity: 2,  	local depth: 17,  	global depth: 25
(46, 32):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 37):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(7, 10):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(10, 32):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(25, 29):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(1, 25):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(22, 13):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(7, 56):  	connectivity: 1,  	local depth: 10,  	global depth: 14
(37, 42):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(10, 40):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(14, 32):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(46, 43):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(3, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(46, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 17):  	connectivity: 1,  	local depth: 8,  	global depth: 43
(8, 39):  	connectivity: 1,  	local depth: 8,  	global depth: 16
(41, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 36):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(32, 14):  	connectivity: 2,  	local depth: 9,  	global depth: 9
