(2, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(68, 90):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(42, 99):  	connectivity: 1,  	local depth: 14,  	global depth: 53
(22, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(48, 76):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(31, 84):  	connectivity: 1,  	local depth: 8,  	global depth: 37
(68, 94):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(20, 80):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 83):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(22, 87):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(22, 94):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(54, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(64, 76):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 93):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(48, 95):  	connectivity: 4,  	local depth: 18,  	global depth: 33
(19, 59):  	connectivity: 1,  	local depth: 11,  	global depth: 37
(64, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(25, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(19, 61):  	connectivity: 1,  	local depth: 11,  	global depth: 66
(64, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 98):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 80):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(19, 65):  	connectivity: 2,  	local depth: 14,  	global depth: 29
(9, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(54, 79):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(19, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(41, 85):  	connectivity: 1,  	local depth: 13,  	global depth: 31
(29, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 92):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(65, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(44, 78):  	connectivity: 2,  	local depth: 19,  	global depth: 23
(15, 51):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(57, 75):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(57, 78):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(32, 96):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 98):  	connectivity: 1,  	local depth: 13,  	global depth: 31
(25, 90):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 95):  	connectivity: 2,  	local depth: 16,  	global depth: 42
(50, 61):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 76):  	connectivity: 2,  	local depth: 12,  	global depth: 29
(68, 64):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(65, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 61):  	connectivity: 2,  	local depth: 17,  	global depth: 53
(44, 90):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(38, 90):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(33, 95):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(16, 55):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(50, 66):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 97):  	connectivity: 3,  	local depth: 19,  	global depth: 19
(57, 88):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 68):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(33, 99):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 55):  	connectivity: 2,  	local depth: 23,  	global depth: 40
(68, 77):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(50, 77):  	connectivity: 1,  	local depth: 8,  	global depth: 37
(47, 90):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(31, 80):  	connectivity: 3,  	local depth: 17,  	global depth: 21
(50, 79):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(68, 80):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(5, 52):  	connectivity: 2,  	local depth: 15,  	global depth: 52
(5, 55):  	connectivity: 4,  	local depth: 19,  	global depth: 43
(61, 68):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(5, 58):  	connectivity: 1,  	local depth: 15,  	global depth: 56
(48, 73):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(63, 87):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(55, 96):  	connectivity: 3,  	local depth: 21,  	global depth: 33
(24, 91):  	connectivity: 2,  	local depth: 12,  	global depth: 29
(53, 84):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(23, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(10, 82):  	connectivity: 1,  	local depth: 16,  	global depth: 31
(45, 97):  	connectivity: 2,  	local depth: 16,  	global depth: 42
(13, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(23, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 58):  	connectivity: 3,  	local depth: 19,  	global depth: 42
(59, 71):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(56, 83):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(59, 72):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 66):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(59, 75):  	connectivity: 1,  	local depth: 8,  	global depth: 8
