(56, 67):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(20, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(38, 91):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(60, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(63, 54):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(24, 11):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(17, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(6, 49):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(56, 59):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 59):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(50, 51):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(41, 65):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(50, 54):  	connectivity: 2,  	local depth: 18,  	global depth: 18
(69, 61):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(24, 25):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(50, 59):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(69, 64):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(64, 61):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(20, 45):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(63, 73):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 70):  	connectivity: 1,  	local depth: 10,  	global depth: 25
(50, 78):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(29, 20):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(39, 38):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 93):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(50, 83):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(23, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 42):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(21, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(29, 29):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(38, 18):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(44, 54):  	connectivity: 3,  	local depth: 14,  	global depth: 18
(54, 70):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(54, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(63, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 69):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(58, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 49):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(66, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(44, 59):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 6):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(29, 37):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 51):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(20, 48):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(3, 12):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(63, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(15, 10):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(23, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(44, 65):  	connectivity: 1,  	local depth: 16,  	global depth: 25
(21, 40):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(44, 69):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(15, 14):  	connectivity: 2,  	local depth: 11,  	global depth: 11
