(1, 24),(0, 35),[]
(21, 26),(24, 26),[]
(28, 37),(28, 30),[]
(21, 26),(11, 26),[]
(45, 11),(42, 15),[]
(15, 47),(15, 51),[]
(4, 44),(7, 41),[]
(15, 47),(15, 42),[]
(28, 37),(29, 40),[]
(49, 20),(47, 17),[]
(62, 23),(59, 22),[]
(0, 35),(20, 51),[(10, 44), (10, 51)]
(61, 13),(60, 10),[]
(16, 37),(19, 37),[]
(52, 18),(51, 21),[]
(34, 12),(37, 10),[]
(27, 33),(27, 30),[]
(44, 11),(33, 24),[]
(31, 33),(29, 30),[]
(59, 18),(57, 21),[]
(29, 30),(18, 30),[]
(52, 18),(52, 14),[]
(44, 4),(40, 6),[]
(11, 35),(11, 38),[]
(42, 1),(44, 4),[]
(11, 23),(11, 28),[]
(41, 9),(38, 11),[]
(36, 6),(40, 6),[]
(34, 30),(30, 28),[]
(67, 13),(64, 14),[]
(56, 21),(52, 22),[]
(65, 22),(62, 23),[]
(11, 35),(11, 28),[]
(64, 14),(61, 13),[]
(50, 4),(50, 7),[]
(19, 23),(19, 26),[]
(24, 37),(22, 34),[]
(37, 10),(42, 15),[]
(29, 48),(30, 45),[]
(4, 33),(0, 33),[]
(11, 56),(15, 55),[]
(10, 28),(18, 28),[]
(48, 1),(44, 4),[]
(62, 2),(59, 4),[]
(13, 38),(14, 42),[]
(42, 15),(44, 18),[]
(4, 24),(1, 24),[]
(6, 30),(6, 38),[]
(52, 22),(49, 20),[]
(34, 34),(33, 37),[]
(7, 48),(10, 48),[]
(33, 37),(34, 43),[]
(34, 34),(34, 30),[]
(18, 28),(19, 40),[]
(10, 32),(10, 28),[]
(10, 38),(13, 38),[]
(5, 27),(4, 24),[]
(24, 47),(26, 43),[]
(31, 45),(20, 40),[]
(70, 10),(67, 6),[]
(16, 37),(11, 37),[]
(55, 8),(57, 11),[]
(24, 23),(24, 30),[]
(6, 30),(5, 27),[]
(34, 43),(31, 45),[]
(50, 7),(45, 11),[]
(44, 22),(43, 19),[]
(14, 33),(18, 33),[]
(4, 47),(4, 44),[]
(7, 23),(11, 23),[]
(33, 50),(29, 48),[]
(15, 55),(15, 51),[]
(7, 23),(4, 24),[]
(29, 23),(32, 25),[]
(20, 40),(10, 44),[]
(37, 3),(37, 6),[]
(22, 34),(19, 35),[]
(19, 44),(18, 41),[]
(24, 47),(20, 51),[]
(59, 4),(61, 9),[]
(40, 6),(41, 9),[]
(59, 22),(56, 21),[]
(33, 24),(30, 27),[]
(29, 40),(27, 43),[]
(19, 44),(19, 51),[]
(7, 51),(10, 51),[]
(10, 38),(3, 38),[]
(30, 27),(29, 30),[]
(34, 19),(36, 22),[]
(18, 54),(18, 51),[]
