(14, 29),(20, 27),[]
(46, 65),(42, 65),[]
(34, 63),(24, 63),[]
(9, 8),(5, 9),[]
(12, 37),(17, 37),[]
(25, 47),(22, 44),[]
(42, 33),(45, 39),[]
(29, 44),(29, 37),[]
(51, 89),(57, 78),[]
(57, 35),(56, 39),[]
(17, 57),(18, 63),[]
(22, 38),(22, 44),[]
(37, 34),(37, 31),[]
(45, 26),(51, 30),[]
(35, 50),(48, 38),[(38, 42)]
(52, 28),(48, 38),[]
(14, 33),(17, 35),[]
(41, 45),(38, 43),[]
(35, 70),(41, 69),[]
(25, 30),(22, 31),[]
(44, 23),(45, 26),[]
(36, 55),(33, 53),[]
(41, 30),(42, 33),[]
(12, 51),(17, 49),[]
(50, 70),(46, 65),[]
(25, 47),(27, 50),[]
(45, 69),(41, 69),[]
(12, 80),(9, 78),[]
(21, 46),(17, 46),[]
(30, 25),(33, 27),[]
(46, 31),(48, 28),[]
(46, 31),(30, 47),[]
(13, 63),(18, 63),[]
(4, 72),(10, 74),[]
(57, 78),(50, 70),[]
(41, 69),(42, 62),[]
(45, 69),(48, 68),[]
(34, 63),(37, 63),[]
(19, 24),(23, 34),[]
(66, 91),(54, 84),[]
(1, 79),(13, 68),[]
(1, 86),(5, 86),[]
(5, 22),(10, 20),[]
(13, 68),(19, 68),[]
(23, 43),(21, 46),[]
(22, 38),(22, 35),[]
(23, 70),(24, 66),[]
(63, 75),(60, 73),[]
(25, 30),(31, 30),[]
(10, 89),(5, 88),[]
(22, 52),(24, 57),[]
(1, 12),(12, 23),[]
(5, 79),(8, 79),[]
(17, 35),(28, 34),[]
(16, 22),(19, 24),[]
(22, 49),(22, 52),[]
(26, 40),(30, 36),[]
(55, 31),(52, 29),[]
(56, 39),(49, 36),[]
(18, 53),(22, 53),[]
(26, 27),(30, 25),[]
(54, 34),(57, 35),[]
(60, 73),(56, 77),[]
(54, 34),(50, 34),[]
(28, 34),(38, 42),[]
(24, 57),(26, 61),[]
(7, 69),(5, 72),[]
(38, 25),(35, 24),[]
(18, 31),(18, 28),[]
(66, 84),(63, 89),[]
(41, 24),(44, 24),[]
(29, 22),(30, 25),[]
(35, 24),(28, 34),[]
(19, 68),(19, 63),[]
(37, 34),(37, 40),[]
(60, 35),(57, 35),[]
(22, 49),(22, 45),[]
(18, 63),(28, 61),[]
(43, 62),(31, 57),[]
(30, 47),(35, 49),[]
(28, 61),(35, 50),[]
(22, 23),(19, 24),[]
(17, 49),(17, 35),[]
(29, 44),(30, 47),[]
(37, 31),(32, 29),[]
(24, 66),(24, 62),[]
(14, 43),(17, 43),[]
(27, 67),(24, 66),[]
(22, 23),(29, 23),[]
(37, 64),(38, 60),[]
(41, 24),(36, 24),[]
(7, 69),(13, 63),[]
(18, 31),(18, 35),[]
(27, 50),(30, 47),[]
(44, 43),(44, 40),[]
(49, 42),(48, 38),[]
(1, 77),(5, 79),[]
(12, 23),(14, 29),[]
