(78, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 14):  	connectivity: 3,  	local depth: 20,  	global depth: 64
(48, 22):  	connectivity: 2,  	local depth: 14,  	global depth: 92
(55, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 23):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(48, 26):  	connectivity: 2,  	local depth: 11,  	global depth: 104
(74, 18):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(78, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(37, 36):  	connectivity: 1,  	local depth: 13,  	global depth: 86
(73, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 6):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(37, 9):  	connectivity: 2,  	local depth: 16,  	global depth: 25
(56, 26):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(66, 34):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 4):  	connectivity: 2,  	local depth: 14,  	global depth: 78
(66, 37):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(72, 13):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(61, 34):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(59, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(64, 24):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(82, 26):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(62, 11):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(37, 13):  	connectivity: 3,  	local depth: 12,  	global depth: 27
(75, 15):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(62, 15):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(74, 39):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 14):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 29):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(64, 34):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(72, 27):  	connectivity: 2,  	local depth: 6,  	global depth: 6
