(61, 72):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(58, 86):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 27
(69, 70):  	connectivity: 2,  	local depth: 12,  	global depth: 21
(69, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 80):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(81, 97):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(69, 73):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(74, 79):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 77):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(92, 51):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 80):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(69, 83):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(70, 55):  	connectivity: 2,  	local depth: 12,  	global depth: 30
(80, 66):  	connectivity: 3,  	local depth: 16,  	global depth: 20
(80, 71):  	connectivity: 2,  	local depth: 17,  	global depth: 26
(64, 88):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(69, 92):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(73, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(80, 72):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 83):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 95):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(80, 75):  	connectivity: 1,  	local depth: 11,  	global depth: 34
(69, 97):  	connectivity: 1,  	local depth: 8,  	global depth: 50
(78, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(80, 79):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(69, 99):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(78, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 63):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(80, 84):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(59, 98):  	connectivity: 2,  	local depth: 19,  	global depth: 32
(92, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 98):  	connectivity: 2,  	local depth: 12,  	global depth: 40
(76, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 59):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(74, 59):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(66, 73):  	connectivity: 3,  	local depth: 15,  	global depth: 15
(73, 94):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(82, 59):  	connectivity: 1,  	local depth: 11,  	global depth: 34
(82, 63):  	connectivity: 2,  	local depth: 17,  	global depth: 26
(68, 95):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(79, 76):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(56, 72):  	connectivity: 2,  	local depth: 12,  	global depth: 42
(56, 92):  	connectivity: 3,  	local depth: 20,  	global depth: 28
(56, 97):  	connectivity: 3,  	local depth: 22,  	global depth: 26
(62, 58):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(77, 72):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(83, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(90, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 62):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(77, 76):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(62, 65):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(72, 77):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 69):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(82, 86):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(51, 92):  	connectivity: 1,  	local depth: 16,  	global depth: 38
(57, 68):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(67, 77):  	connectivity: 1,  	local depth: 13,  	global depth: 21
(82, 90):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(65, 62):  	connectivity: 1,  	local depth: 8,  	global depth: 27
(77, 87):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(82, 93):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(56, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(77, 91):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(65, 67):  	connectivity: 2,  	local depth: 12,  	global depth: 21
(81, 52):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(65, 69):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(65, 70):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(77, 94):  	connectivity: 3,  	local depth: 11,  	global depth: 11
(72, 91):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(67, 88):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(77, 97):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(60, 69):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(68, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(72, 95):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(87, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(44, 99):  	connectivity: 1,  	local depth: 8,  	global depth: 50
(68, 66):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(72, 98):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 59):  	connectivity: 1,  	local depth: 8,  	global depth: 52
(57, 88):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(57, 90):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(58, 62):  	connectivity: 1,  	local depth: 16,  	global depth: 28
(60, 80):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(62, 97):  	connectivity: 2,  	local depth: 12,  	global depth: 40
(52, 89):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(61, 53):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(60, 81):  	connectivity: 2,  	local depth: 16,  	global depth: 34
(60, 82):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 92):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(94, 41):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(81, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(52, 97):  	connectivity: 2,  	local depth: 19,  	global depth: 32
(58, 77):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 58):  	connectivity: 2,  	local depth: 16,  	global depth: 24
(65, 99):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(71, 76):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(63, 84):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(61, 69):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 62):  	connectivity: 3,  	local depth: 20,  	global depth: 20
(77, 55):  	connectivity: 2,  	local depth: 11,  	global depth: 11
