(91, 86):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(84, 65):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(38, 93):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 65):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 82):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 85):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(76, 79):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(84, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(90, 48):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(13, 52):  	connectivity: 1,  	local depth: 15,  	global depth: 28
(1, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 91):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(69, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(49, 92):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(66, 76):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(10, 41):  	connectivity: 1,  	local depth: 8,  	global depth: 40
(45, 93):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(36, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(77, 63):  	connectivity: 2,  	local depth: 19,  	global depth: 31
(58, 91):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(90, 60):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(1, 51):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(84, 84):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(90, 63):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(6, 54):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(87, 78):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 58):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 78):  	connectivity: 2,  	local depth: 13,  	global depth: 39
(1, 57):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(10, 42):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(42, 85):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(80, 59):  	connectivity: 1,  	local depth: 11,  	global depth: 19
(56, 86):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 90):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(73, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 40):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(28, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(1, 63):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(77, 79):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 49):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(90, 77):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(77, 82):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(16, 50):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(69, 91):  	connectivity: 2,  	local depth: 9,  	global depth: 31
(65, 60):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(10, 58):  	connectivity: 1,  	local depth: 5,  	global depth: 5
