(38, 38):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(52, 23):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(38, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 38):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(27, 71):  	connectivity: 1,  	local depth: 8,  	global depth: 38
(40, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(56, 60):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(38, 62):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 48):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(31, 55):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(35, 69):  	connectivity: 2,  	local depth: 16,  	global depth: 24
(12, 45):  	connectivity: 1,  	local depth: 8,  	global depth: 36
(43, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 44):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(14, 67):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(43, 69):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(57, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(56, 66):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(46, 58):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(46, 59):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(28, 33):  	connectivity: 2,  	local depth: 9,  	global depth: 32
(14, 57):  	connectivity: 2,  	local depth: 15,  	global depth: 28
(49, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(12, 49):  	connectivity: 1,  	local depth: 18,  	global depth: 26
(31, 63):  	connectivity: 2,  	local depth: 16,  	global depth: 24
(14, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(57, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 46):  	connectivity: 2,  	local depth: 18,  	global depth: 22
(57, 49):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 34):  	connectivity: 2,  	local depth: 21,  	global depth: 29
(6, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(6, 13):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(1, 12):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(38, 51):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(31, 40):  	connectivity: 1,  	local depth: 18,  	global depth: 37
(9, 19):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(10, 11):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(39, 57):  	connectivity: 2,  	local depth: 12,  	global depth: 30
(57, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 30):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(58, 33):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(39, 61):  	connectivity: 2,  	local depth: 16,  	global depth: 24
(6, 21):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(31, 49):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(1, 16):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(45, 40):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(1, 19):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(1, 22):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(24, 50):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(48, 35):  	connectivity: 2,  	local depth: 11,  	global depth: 15
