(0, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 30):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(44, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(2, 36):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(2, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(44, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 13):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(28, 1):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(2, 25):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(28, 4):  	connectivity: 2,  	local depth: 14,  	global depth: 18
(18, 37):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(60, 8):  	connectivity: 3,  	local depth: 10,  	global depth: 25
(37, 8):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(47, 14):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(9, 20):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(0, 41):  	connectivity: 1,  	local depth: 11,  	global depth: 29
(22, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(50, 7):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 8):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(28, 15):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(63, 8):  	connectivity: 1,  	local depth: 10,  	global depth: 32
(15, 36):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(7, 25):  	connectivity: 3,  	local depth: 17,  	global depth: 17
(4, 19):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(4, 20):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(5, 38):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(14, 14):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 8):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(34, 6):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(51, 1):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(18, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 8):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(7, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(39, 4):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 13):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(56, 13):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(9, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 11):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(17, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(22, 50):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(4, 31):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 22):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(2, 21):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(9, 16):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 37):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(67, 6):  	connectivity: 1,  	local depth: 8,  	global depth: 37
(59, 4):  	connectivity: 1,  	local depth: 10,  	global depth: 32
(67, 11):  	connectivity: 2,  	local depth: 9,  	global depth: 30
(19, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(38, 12):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(14, 38):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(40, 15):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(18, 28):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(17, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 2):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 10):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(35, 2):  	connectivity: 2,  	local depth: 11,  	global depth: 20
(24, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(21, 46):  	connectivity: 1,  	local depth: 8,  	global depth: 27
(17, 31):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(19, 38):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(21, 48):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 2):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(13, 17):  	connectivity: 1,  	local depth: 11,  	global depth: 28
(55, 5):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(42, 10):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(24, 23):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(1, 14):  	connectivity: 1,  	local depth: 16,  	global depth: 24
(65, 16):  	connectivity: 2,  	local depth: 14,  	global depth: 22
(55, 9):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(68, 7):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(8, 17):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 13):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(25, 8):  	connectivity: 1,  	local depth: 8,  	global depth: 30
(68, 14):  	connectivity: 2,  	local depth: 11,  	global depth: 25
(10, 28):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(24, 32):  	connectivity: 2,  	local depth: 12,  	global depth: 21
(25, 11):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(13, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(48, 3):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(24, 36):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(1, 29):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 3):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(16, 17):  	connectivity: 2,  	local depth: 17,  	global depth: 21
(24, 39):  	connectivity: 3,  	local depth: 15,  	global depth: 15
(25, 18):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(21, 15):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(10, 38):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(38, 3):  	connectivity: 2,  	local depth: 9,  	global depth: 24
(20, 25):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(11, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 16):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(59, 11):  	connectivity: 2,  	local depth: 13,  	global depth: 22
(24, 43):  	connectivity: 2,  	local depth: 13,  	global depth: 17
(30, 9):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(13, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 14):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(24, 46):  	connectivity: 2,  	local depth: 12,  	global depth: 21
(25, 27):  	connectivity: 1,  	local depth: 11,  	global depth: 28
(21, 22):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(20, 32):  	connectivity: 1,  	local depth: 8,  	global depth: 27
(20, 33):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(17, 20):  	connectivity: 3,  	local depth: 16,  	global depth: 16
(16, 27):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(25, 50):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(54, 6):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(5, 30):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(20, 41):  	connectivity: 1,  	local depth: 13,  	global depth: 21
