(71, 25):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(55, 42):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(61, 22):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(58, 35):  	connectivity: 3,  	local depth: 20,  	global depth: 33
(71, 33):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(43, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(74, 23):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(65, 41):  	connectivity: 2,  	local depth: 14,  	global depth: 45
(87, 91):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 28):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(90, 81):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(92, 20):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(53, 39):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(58, 44):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(68, 55):  	connectivity: 3,  	local depth: 12,  	global depth: 21
(72, 15):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(58, 47):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(65, 68):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 25):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(53, 45):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(61, 37):  	connectivity: 2,  	local depth: 19,  	global depth: 38
(71, 46):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(50, 58):  	connectivity: 2,  	local depth: 19,  	global depth: 39
(58, 50):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(87, 30):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(58, 51):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(65, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(44, 57):  	connectivity: 2,  	local depth: 9,  	global depth: 55
(87, 34):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(50, 63):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 54):  	connectivity: 2,  	local depth: 9,  	global depth: 29
(68, 67):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(58, 60):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 49):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(75, 18):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(61, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(71, 60):  	connectivity: 2,  	local depth: 16,  	global depth: 38
(92, 87):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(49, 29):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(78, 85):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(53, 67):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(49, 35):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(71, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(88, 24):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(71, 68):  	connectivity: 2,  	local depth: 19,  	global depth: 38
(75, 28):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(64, 52):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 34):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(88, 30):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(79, 2):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(65, 35):  	connectivity: 2,  	local depth: 21,  	global depth: 34
(92, 30):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(68, 25):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(78, 35):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(43, 42):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(68, 28):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(92, 26):  	connectivity: 1,  	local depth: 13,  	global depth: 17
