(93, 74):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(86, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(96, 57):  	connectivity: 1,  	local depth: 11,  	global depth: 30
(42, 4):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(85, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(89, 58):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(42, 7):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(35, 32):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(68, 1):  	connectivity: 1,  	local depth: 15,  	global depth: 71
(49, 30):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(86, 76):  	connectivity: 1,  	local depth: 10,  	global depth: 10
(54, 36):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(49, 33):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(34, 36):  	connectivity: 2,  	local depth: 10,  	global depth: 10
(86, 80):  	connectivity: 3,  	local depth: 7,  	global depth: 7
(73, 13):  	connectivity: 3,  	local depth: 24,  	global depth: 47
(58, 2):  	connectivity: 1,  	local depth: 15,  	global depth: 71
(29, 23):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(88, 27):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(73, 16):  	connectivity: 2,  	local depth: 25,  	global depth: 52
(96, 47):  	connectivity: 1,  	local depth: 11,  	global depth: 11
(49, 43):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 25):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(83, 29):  	connectivity: 2,  	local depth: 14,  	global depth: 68
(58, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(73, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(96, 45):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 9):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(89, 82):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(48, 6):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(85, 52):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(71, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(60, 34):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(65, 39):  	connectivity: 1,  	local depth: 3,  	global depth: 3
