(30, 85),(27, 88),[]
(30, 77),(26, 80),[]
(43, 61),(41, 58),[]
(27, 72),(17, 73),[]
(15, 89),(13, 86),[]
(9, 94),(3, 97),[]
(17, 73),(5, 73),[]
(18, 89),(21, 89),[]
(34, 56),(33, 60),[]
(18, 89),(15, 89),[]
(13, 82),(14, 85),[]
(7, 99),(6, 96),[]
(0, 77),(3, 78),[]
(21, 79),(18, 83),[]
(16, 76),(16, 73),[]
(6, 81),(3, 79),[]
(13, 76),(13, 73),[]
(41, 65),(43, 61),[]
(28, 61),(33, 60),[]
(12, 86),(18, 83),[]
(22, 86),(27, 88),[]
(27, 88),(27, 98),[]
(20, 97),(9, 94),[]
(24, 77),(21, 79),[]
(1, 84),(7, 95),[]
(16, 99),(16, 96),[]
(30, 82),(30, 85),[]
(24, 91),(27, 91),[]
(8, 86),(12, 86),[]
(39, 61),(27, 72),[]
(21, 90),(22, 86),[]
(30, 92),(27, 92),[]
(30, 82),(30, 77),[]
(18, 83),(22, 86),[]
(0, 95),(3, 97),[]
(33, 60),(36, 63),[]
(12, 98),(12, 95),[]
(5, 73),(1, 84),[]
(25, 83),(23, 86),[]
(26, 80),(25, 83),[]
(30, 96),(30, 99),[]
(9, 76),(9, 73),[]
(30, 99),(20, 97),[]
(0, 99),(1, 96),[]
(18, 92),(18, 89),[]
(0, 89),(3, 88),[]
(1, 73),(4, 75),[]
(30, 96),(30, 92),[]
