(3, 33),(11, 33),[]
(37, 42),(40, 42),[]
(33, 18),(33, 23),[]
(12, 23),(9, 23),[]
(39, 33),(38, 27),[]
(36, 48),(31, 50),[]
(4, 45),(10, 27),[(14, 37)]
(31, 50),(26, 49),[]
(21, 29),(20, 33),[]
(40, 1),(42, 11),[]
(20, 33),(14, 36),[]
(2, 19),(2, 22),[]
(17, 30),(17, 35),[]
(28, 21),(25, 23),[]
(23, 35),(20, 33),[]
(17, 26),(21, 29),[]
(1, 36),(1, 33),[]
(46, 4),(48, 7),[]
(37, 23),(25, 23),[]
(7, 17),(10, 27),[]
(24, 38),(23, 35),[]
(40, 41),(41, 38),[]
(42, 11),(42, 15),[]
(10, 49),(6, 51),[]
(34, 35),(30, 36),[]
(25, 32),(29, 32),[]
(40, 41),(40, 46),[]
(1, 36),(1, 40),[]
(13, 45),(10, 49),[]
(7, 38),(7, 35),[]
(48, 7),(50, 12),[]
(23, 50),(15, 50),[]
(15, 50),(18, 47),[]
(17, 30),(18, 27),[]
(2, 39),(0, 42),[]
(7, 31),(4, 30),[]
(14, 37),(18, 47),[(21, 45)]
(37, 23),(40, 23),[]
(22, 25),(23, 22),[]
(5, 27),(5, 30),[]
(4, 30),(0, 30),[]
(30, 25),(31, 28),[]
(17, 26),(10, 19),[]
(7, 38),(7, 43),[]
(40, 22),(40, 26),[]
(20, 17),(8, 19),[]
(6, 35),(9, 34),[]
(37, 51),(37, 48),[]
(32, 53),(32, 50),[]
(33, 32),(33, 35),[]
(38, 17),(33, 18),[]
(22, 25),(22, 34),[]
(7, 55),(4, 45),[]
(0, 42),(4, 45),[]
(24, 38),(24, 44),[]
(0, 33),(1, 22),[]
(1, 22),(8, 22),[]
(22, 21),(20, 17),[]
(27, 27),(31, 40),[]
(18, 21),(17, 18),[]
(21, 39),(24, 39),[]
(21, 39),(16, 39),[]
(41, 38),(39, 33),[]
(9, 34),(12, 33),[]
(37, 42),(30, 42),[]
(11, 53),(9, 50),[]
(26, 49),(24, 44),[]
(3, 33),(0, 33),[]
(25, 32),(22, 32),[]
(13, 45),(17, 41),[]
(33, 32),(33, 28),[]
(25, 23),(22, 21),[]
(23, 50),(26, 49),[]
(5, 27),(5, 22),[]
(41, 46),(36, 48),[]
(7, 31),(12, 31),[]
(31, 44),(30, 41),[]
(32, 40),(21, 45),[]
(50, 5),(38, 17),[]
(27, 17),(28, 21),[]
(41, 26),(28, 29),[]
