(72, 26):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(70, 11):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(53, 20):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(64, 0):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(52, 13):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(52, 14):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(69, 6):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 7):  	connectivity: 2,  	local depth: 13,  	global depth: 13
(71, 24):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(60, 11):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(46, 7):  	connectivity: 3,  	local depth: 12,  	global depth: 12
(60, 13):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(65, 18):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(56, 4):  	connectivity: 1,  	local depth: 11,  	global depth: 20
(46, 10):  	connectivity: 1,  	local depth: 13,  	global depth: 17
(64, 10):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(58, 1):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(47, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(76, 2):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(58, 2):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(63, 24):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 11):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(54, 7):  	connectivity: 2,  	local depth: 12,  	global depth: 16
(64, 15):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(69, 20):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 1):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 17):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(76, 5):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(46, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(50, 21):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(60, 25):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(50, 17):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(51, 25):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(50, 18):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(60, 26):  	connectivity: 1,  	local depth: 13,  	global depth: 13
(51, 26):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(59, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 19):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(67, 10):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(62, 6):  	connectivity: 1,  	local depth: 8,  	global depth: 21
(66, 4):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(76, 12):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(77, 20):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(49, 12):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(64, 24):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(57, 4):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(50, 20):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(61, 2):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(63, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(75, 5):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(76, 21):  	connectivity: 2,  	local depth: 9,  	global depth: 13
(76, 15):  	connectivity: 2,  	local depth: 11,  	global depth: 11
(53, 11):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(72, 19):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(61, 9):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(70, 4):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(75, 8):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(63, 21):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(77, 24):  	connectivity: 1,  	local depth: 8,  	global depth: 17
(70, 5):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(61, 6):  	connectivity: 1,  	local depth: 11,  	global depth: 15
(65, 2):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(71, 15):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(58, 19):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(76, 19):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(58, 20):  	connectivity: 3,  	local depth: 9,  	global depth: 9
(75, 12):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(68, 18):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(51, 1):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(54, 25):  	connectivity: 2,  	local depth: 9,  	global depth: 13
