(11, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(10, 67):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(20, 71):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(22, 65):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(47, 53):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(28, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(11, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(62, 75):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(47, 64):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(75, 75):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(62, 80):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(62, 82):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(18, 60):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(50, 63):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(53, 53):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(33, 60):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(22, 52):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(14, 50):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(16, 53):  	connectivity: 2,  	local depth: 14,  	global depth: 14
(40, 61):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(53, 58):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(50, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(33, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(18, 65):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(63, 71):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(40, 67):  	connectivity: 1,  	local depth: 10,  	global depth: 40
(30, 46):  	connectivity: 2,  	local depth: 11,  	global depth: 32
(56, 55):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(40, 71):  	connectivity: 3,  	local depth: 10,  	global depth: 32
(36, 51):  	connectivity: 2,  	local depth: 14,  	global depth: 28
(25, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(53, 68):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(53, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(43, 61):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(60, 90):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(36, 53):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(43, 64):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(34, 59):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(34, 60):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(34, 61):  	connectivity: 2,  	local depth: 14,  	global depth: 26
(66, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(43, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(20, 56):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(32, 71):  	connectivity: 2,  	local depth: 17,  	global depth: 26
(21, 43):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(66, 74):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(56, 66):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(14, 56):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 58):  	connectivity: 2,  	local depth: 9,  	global depth: 18
(66, 78):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(18, 47):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 53):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(17, 44):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(14, 62):  	connectivity: 1,  	local depth: 8,  	global depth: 23
(30, 55):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(11, 45):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(57, 50):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(41, 67):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(21, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(20, 70):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(20, 46):  	connectivity: 2,  	local depth: 9,  	global depth: 38
(36, 71):  	connectivity: 2,  	local depth: 13,  	global depth: 28
(64, 77):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(54, 70):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(37, 59):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(35, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(29, 64):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(35, 58):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(37, 64):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(44, 67):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(37, 67):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(55, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(52, 67):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(13, 65):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(32, 70):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(55, 61):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(10, 52):  	connectivity: 1,  	local depth: 8,  	global depth: 46
(57, 79):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(15, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 57):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(23, 60):  	connectivity: 3,  	local depth: 5,  	global depth: 5
(57, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(21, 58):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(65, 81):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(68, 71):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(48, 55):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(65, 84):  	connectivity: 2,  	local depth: 4,  	global depth: 4
(29, 50):  	connectivity: 2,  	local depth: 9,  	global depth: 9
(48, 57):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(24, 71):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(45, 72):  	connectivity: 1,  	local depth: 10,  	global depth: 40
(27, 52):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(21, 66):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(26, 57):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(21, 69):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 60):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(32, 48):  	connectivity: 1,  	local depth: 8,  	global depth: 12
(10, 60):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(9, 71):  	connectivity: 1,  	local depth: 7,  	global depth: 7
(68, 87):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(13, 50):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(10, 62):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(26, 66):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(51, 64):  	connectivity: 1,  	local depth: 5,  	global depth: 5
(46, 61):  	connectivity: 2,  	local depth: 6,  	global depth: 6
(51, 65):  	connectivity: 2,  	local depth: 8,  	global depth: 8
(71, 81):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(25, 46):  	connectivity: 1,  	local depth: 3,  	global depth: 3
(19, 52):  	connectivity: 2,  	local depth: 11,  	global depth: 15
(49, 60):  	connectivity: 1,  	local depth: 8,  	global depth: 8
(61, 85):  	connectivity: 1,  	local depth: 3,  	global depth: 3
